record_id,ceremony_year,ceremony_number,film_title,film_title_original,film_language,film_year,category,category_normalized,award_type,director,awardee,production_company,cash_prize,imdb_id,imdb_rating,imdb_votes,runtime_minutes,genres,box_office_worldwide,release_date,omdb_box_office,omdb_released,omdb_poster_url,plot_summary,is_sequel,is_remake,crew_size,source_url,scraped_at,data_source,is_valid,validation_warnings,validation_errors
2023|Awarded for|Awarded for,2023,70,Awarded for,,Hindi,2022,Awarded for,awarded-for,,,,,,tt30895148,,,,,,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Awarded by|Awarded by,2023,70,Awarded by,,Tamil,2022,Awarded by,awarded-by,,,,,,tt30895148,,,,,,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Presented by|Presented by,2023,70,Presented by,,Hindi,2022,Presented by,presented-by,,Connor Malbeuf,,,,tt21051860,,21,,Reality-TV,,11 Jun 2022,,11 Jun 2022,https://m.media-amazon.com/images/M/MV5BMGQzZWU1YzQtNWUwMy00OWU0LWE0Y2QtNDM0YTQ4NDFhZmI3XkEyXkFqcGdeQXVyMTA4NzE0ODU2._V1_SX300.jpg,"LA Pride Backstage LIVE: Presented by Tik Tok gives viewers a behind-the-scenes look at LA PRIDE in the park. Featuring, Anitta, Christina Aguilera, Bob The Drag Queen, Eureka, and more. Hosted by Dylan Mulvaney and DeAndre Brown.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Announced on|Announced on,2023,70,Announced on,,Hindi,2022,Announced on,announced-on,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Presented on|Presented on,2023,70,Presented on,,,2022,Presented on,presented-on,,,,,,tt12993004,3.5,,82,Horror,,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Site|Site,2023,70,Site,,Hindi,2022,Site,site,,Sophia Banks,,,,tt13918550,4.5,"4,632",93,Action|Thriller,,03 May 2022,,03 May 2022,https://m.media-amazon.com/images/M/MV5BYTA5MDNmZjctNzBjMy00MmJkLWJhZDUtMjk1YjJjMzhiZTFmXkEyXkFqcGc@._V1_SX300.jpg,"A group of officers in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far-reaching and dire conseque...",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Official website|Official website,2023,70,Official Website,,Telugu,2022,Official Website,official-website,,,,,,tt32360820,,,,Comedy|Drama,,,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Feature Film|Best Feature Film,2023,70,Best Feature Film,,Hindi,2022,Best Feature Film,best-feature-film,,,,,,tt19850292,,,,Action|Crime|Horror,,,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Non-Feature Film|Best Non-Feature Film,2023,70,Best Non-Feature Film,,Hindi,2022,Best Non-Feature Film,best-non-feature-film,,,,,,tt19850292,,,,Action|Crime|Horror,,,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Book|Best Book,2023,70,Best Book,,Hindi,2022,Best Book,best-book,,,,,,tt21343502,5.8,,113,Adventure|Family|Fantasy,Gross worldwide,2022,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Film Critic|Best Film Critic,2023,70,Best Film Critic,,Hindi,2022,Best Film Critic,best-film-critic,Golden Lotus,,,,,tt29615171,7.5,,123,Drama,,2024,,,,,False,False,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Dadasaheb Phalke Award|Dadasaheb Phalke Award,2023,70,Dadasaheb Phalke Award,,Hindi,2022,Dadasaheb Phalke Award,dadasaheb-phalke-award,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Most awards|Most awards,2023,70,Most Awards,,,2022,Most Awards,most-awards,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Feature Film|Aattam,2023,70,Aattam,,Malayalam,2022,Best Feature Film,best-feature-film,Golden Lotus,Anand Ekarshi,Producer: Joy Movie Productions,,"₹3,00,000 each",tt11530982,4.1,814,147,Action|Drama|Thriller,,05 Aug 2022,,05 Aug 2022,https://m.media-amazon.com/images/M/MV5BOTQ2NTE4MTctNjc5MC00NWE4LWEzNGItOGI1OGZmY2JhMTAxXkEyXkFqcGc@._V1_SX300.jpg,Two disparate men meeting by accident and the friendship they develop.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Debut Film of a Director|Fouja,2023,70,Fouja,,Haryanvi,2022,Best Debut Film of a Director,best-debut-film-of-a-director,Golden Lotus,Pramod Kumar,,,"₹3,00,000",tt27794632,,27,155,Action|Drama,,01 Jun 2023,,01 Jun 2023,https://m.media-amazon.com/images/M/MV5BOWZkYjBiNzUtYjFhNy00NzgyLThlMGUtYWE5MGFlZTU3MGRlXkEyXkFqcGdeQXVyMTU2MzI4MDQ0._V1_SX300.jpg,Story of An average Indian Family with tradition of serving Mother India by joining Indian Army from generations and dedicates his life for the Security of the Nation. Dedicated to all the Martyred Soldiers of the Indian Army,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Popular Film Providing Wholesome En|Kantara,2023,70,Kantara,,Kannada,2022,Best Popular Film Providing Wholesome Entertainment,best-popular-film-providing-wholesome-entertainment,Golden Lotus,Rishab Shetty,Producer: Hombale Films,,"₹3,00,000 each",tt15327088,8.1,"115,613",148,Action|Adventure|Drama,,30 Sep 2022,,30 Sep 2022,https://m.media-amazon.com/images/M/MV5BY2VkZjk5ZjMtM2ExOS00ZDA1LTg1ZDEtYTliNGZiYTc4ZWZiXkEyXkFqcGc@._V1_SX300.jpg,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Film in AVGC • Producer & Director|Brahmāstra: Part One – Shiva,2023,70,Brahmāstra: Part One – Shiva,,Hindi,2022,Best Film in AVGC • Producer & Director,best-film-in-avgc-producer-director,Golden Lotus,Ayan Mukerji,Producer: Dharma Productions Prime Focus Starlight Pictures,,"₹3,00,000 each",tt6277462,5.6,"114,581",167,Action|Adventure|Fantasy,"$7,839,108",09 Sep 2022,"$7,839,108",09 Sep 2022,https://m.media-amazon.com/images/M/MV5BMTlmMTAyOGEtNTM2My00M2IwLWE0NDMtNzhhOTQ0Mzc5YmIyXkEyXkFqcGc@._V1_SX300.jpg,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Direction|Uunchai,2023,70,Uunchai,,Sooraj R. Barjatya,2022,Best Direction,best-direction,Golden Lotus,Sooraj Barjatya,"₹3,00,000",,,tt15309708,7.0,"7,798",173,Drama,,11 Nov 2022,,11 Nov 2022,https://m.media-amazon.com/images/M/MV5BZmEwM2JjNzEtMTMyNC00NDU2LTlhMTgtYWYxMjFiZTcxMWE4XkEyXkFqcGc@._V1_SX300.jpg,"Three friends take a trek to the Everest Base Camp. A simple trek turns out to be a personal, emotional and spiritual journey as they battle their physical limitations and discover the true meaning of freedom.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Film in AVGC • VFX Supervisor|Brahmāstra: Part One – Shiva,2023,70,Brahmāstra: Part One – Shiva,,Hindi,2022,Best Film in AVGC • VFX Supervisor,best-film-in-avgc-vfx-supervisor,Silver Lotus,Ayan Mukerji,VFX Supervisor: Jaykar Arudra Viral Thakkar Neelesh Gore,,"₹2,00,000 shared",tt6277462,5.6,"114,581",167,Action|Adventure|Fantasy,"$7,839,108",09 Sep 2022,"$7,839,108",09 Sep 2022,https://m.media-amazon.com/images/M/MV5BMTlmMTAyOGEtNTM2My00M2IwLWE0NDMtNzhhOTQ0Mzc5YmIyXkEyXkFqcGc@._V1_SX300.jpg,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
"2023|Best Feature Film Promoting National, So|Kutch Express",2023,70,Kutch Express,,Gujarati,2022,"Best Feature Film Promoting National, Social and Environmental Values",best-feature-film-promoting-national-social-and-environmental-values,Silver Lotus,Viral Shah,Producer: Soul Sutra,,"₹2,00,000 each",tt23664710,7.2,"4,744",134,Drama|Family,,06 Jan 2023,,06 Jan 2023,https://m.media-amazon.com/images/M/MV5BZTg5Y2FhMzctZGY3NS00ZjZmLWEzOTktOWJlNTM3NTU1ZjliXkEyXkFqcGc@._V1_SX300.jpg,Revolves around how the journey of a thousand miles begins with a single step and explores love and life.,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Actor in a Leading Role|Kantara,2023,70,Kantara,,Kannada,2022,Best Actor in a Leading Role,best-actor-in-a-leading-role,Silver Lotus,Rishab Shetty,Rishab Shetty,,"₹2,00,000",tt15327088,8.1,"115,613",148,Action|Adventure|Drama,,30 Sep 2022,,30 Sep 2022,https://m.media-amazon.com/images/M/MV5BY2VkZjk5ZjMtM2ExOS00ZDA1LTg1ZDEtYTliNGZiYTc4ZWZiXkEyXkFqcGc@._V1_SX300.jpg,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Actress in a Leading Role|Thiruchitrambalam,2023,70,Thiruchitrambalam,,Tamil,2022,Best Actress in a Leading Role,best-actress-in-a-leading-role,Silver Lotus,Mithran Jawahar,Nithya Menen,,"₹2,00,000 shared",tt11772746,7.9,"16,353",131,Comedy|Drama|Musical,,18 Aug 2022,,18 Aug 2022,https://m.media-amazon.com/images/M/MV5BMzUwZTMxZDItYTUzYi00YjQ5LWI1NjctMDc2MGUyYWE4YWYwXkEyXkFqcGc@._V1_SX300.jpg,"Thiruchitrambalam lives with his father and grandfather. He blames the former for the loss of his mother and sister and is not on good terms with the latter. Meanwhile, his love life is not so successful.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Kutch Express|Gujarati,2023,70,Gujarati,,Manasi Parekh,2022,Kutch Express,kutch-express,Silver Lotus,Vipul Mehta,,,,tt33742819,,,,Short,,10 May 2022,,10 May 2022,https://m.media-amazon.com/images/M/MV5BZDVmZjhmOGEtZmQ2Ny00NjI4LWEyZDctZjQzNGI4MjJhOTY5XkEyXkFqcGc@._V1_SX300.jpg,,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Actor in a Supporting Role|Fouja,2023,70,Fouja,,Haryanvi,2022,Best Actor in a Supporting Role,best-actor-in-a-supporting-role,Silver Lotus,Pramod Kumar,Pavan Malhotra,,"₹2,00,000",tt27794632,,27,155,Action|Drama,,01 Jun 2023,,01 Jun 2023,https://m.media-amazon.com/images/M/MV5BOWZkYjBiNzUtYjFhNy00NzgyLThlMGUtYWE5MGFlZTU3MGRlXkEyXkFqcGdeQXVyMTU2MzI4MDQ0._V1_SX300.jpg,Story of An average Indian Family with tradition of serving Mother India by joining Indian Army from generations and dedicates his life for the Security of the Nation. Dedicated to all the Martyred Soldiers of the Indian Army,,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
2023|Best Actress in a Supporting Role|Uunchai,2023,70,Uunchai,,Hindi,2022,Best Actress in a Supporting Role,best-actress-in-a-supporting-role,Silver Lotus,Sooraj Barjatya,Neena Gupta,,"₹2,00,000",tt15309708,7.0,"7,798",173,Drama,,11 Nov 2022,,11 Nov 2022,https://m.media-amazon.com/images/M/MV5BZmEwM2JjNzEtMTMyNC00NDU2LTlhMTgtYWYxMjFiZTcxMWE4XkEyXkFqcGc@._V1_SX300.jpg,"Three friends take a trek to the Everest Base Camp. A simple trek turns out to be a personal, emotional and spiritual journey as they battle their physical limitations and discover the true meaning of freedom.",,,,https://en.wikipedia.org/wiki/70th_National_Film_Awards,2026-02-18T08:49:01.496445,wikipedia_api,True,,
